Name,Value,Team
Ederson,61600000.0,Manchester City
Arijanet Muric,1980000.0,Manchester City
Claudio Bravo,1320000.0,Manchester City
Aymeric Laporte,66000000.0,Manchester City
John Stones,39600000.0,Manchester City
Nicolás Otamendi,15950000.0,Manchester City
Eric García,6930000.0,Manchester City
Tosin Adarabioyo,3080000.0,Manchester City
Joel Latibeaudiere,110000.0,Manchester City
Benjamin Mendy,30800000.0,Manchester City
Oleksandr Zinchenko,26400000.0,Manchester City
Kyle Walker,44000000.0,Manchester City
João Cancelo,39600000.0,Manchester City
Rodri,70400000.0,Manchester City
Fernandinho,8800000.0,Manchester City
Ilkay Gündogan,44000000.0,Manchester City
Phil Foden,29700000.0,Manchester City
Kevin De Bruyne,132000000.0,Manchester City
David Silva,13200000.0,Manchester City
Ryotaro Meshino,495000.0,Manchester City
Raheem Sterling,140800000.0,Manchester City
Leroy Sané,88000000.0,Manchester City
Jack Harrison,5720000.0,Manchester City
Bernardo Silva,88000000.0,Manchester City
Riyad Mahrez,52800000.0,Manchester City
Patrick Roberts,3080000.0,Manchester City
Gabriel Jesus,61600000.0,Manchester City
Sergio Agüero,57200000.0,Manchester City
Alisson,79200000.0,Liverpool FC
Adrián,4400000.0,Liverpool FC
Loris Karius,3520000.0,Liverpool FC
Caoimhin Kelleher,990000.0,Liverpool FC
Andy Lonergan,275000.0,Liverpool FC
Virgil van Dijk,88000000.0,Liverpool FC
Joe Gomez,36850000.0,Liverpool FC
Joel Matip,35200000.0,Liverpool FC
Dejan Lovren,17600000.0,Liverpool FC
Andrew Robertson,70400000.0,Liverpool FC
Trent Alexander-Arnold,108900000.0,Liverpool FC
Nathaniel Clyne,8800000.0,Liverpool FC
Fabinho,61600000.0,Liverpool FC
Georginio Wijnaldum,44000000.0,Liverpool FC
Naby Keïta,36850000.0,Liverpool FC
Jordan Henderson,30800000.0,Liverpool FC
Alex Oxlade-Chamberlain,30800000.0,Liverpool FC
James Milner,7150000.0,Liverpool FC
Ovie Ejaria,3520000.0,Liverpool FC
Curtis Jones,1980000.0,Liverpool FC
Adam Lallana,10450000.0,Liverpool FC
Ben Woodburn,4950000.0,Liverpool FC
Sadio Mané,132000000.0,Liverpool FC
Takumi Minamino,11000000.0,Liverpool FC
Mohamed Salah,132000000.0,Liverpool FC
Harry Wilson,19250000.0,Liverpool FC
Xherdan Shaqiri,17600000.0,Liverpool FC
Sheyi Ojo,1760000.0,Liverpool FC
Roberto Firmino,79200000.0,Liverpool FC
Divock Origi,17600000.0,Liverpool FC
Hugo Lloris,15950000.0,Tottenham Hotspur
Paulo Gazzaniga,3080000.0,Tottenham Hotspur
Michel Vorm,880000.0,Tottenham Hotspur
Alfie Whiteman,0,Tottenham Hotspur
Davinson Sánchez,52800000.0,Tottenham Hotspur
Toby Alderweireld,26400000.0,Tottenham Hotspur
Jan Vertonghen,15950000.0,Tottenham Hotspur
Juan Foyth,14850000.0,Tottenham Hotspur
Japhet Tanganga,7920000.0,Tottenham Hotspur
Cameron Carter-Vickers,2200000.0,Tottenham Hotspur
Ben Davies,19250000.0,Tottenham Hotspur
Serge Aurier,17600000.0,Tottenham Hotspur
Kyle Walker-Peters,8800000.0,Tottenham Hotspur
Eric Dier,22000000.0,Tottenham Hotspur
Oliver Skipp,7920000.0,Tottenham Hotspur
Tanguy Ndombélé,57200000.0,Tottenham Hotspur
Giovani Lo Celso,44000000.0,Tottenham Hotspur
Harry Winks,35200000.0,Tottenham Hotspur
Moussa Sissoko,22000000.0,Tottenham Hotspur
Gedson Fernandes,14850000.0,Tottenham Hotspur
Ryan Sessegnon,34650000.0,Tottenham Hotspur
Dele Alli,70400000.0,Tottenham Hotspur
Heung-min Son,70400000.0,Tottenham Hotspur
Steven Bergwijn,30800000.0,Tottenham Hotspur
Lucas Moura,35200000.0,Tottenham Hotspur
Erik Lamela,17600000.0,Tottenham Hotspur
Jack Clarke,5940000.0,Tottenham Hotspur
Harry Kane,132000000.0,Tottenham Hotspur
Kepa,35200000.0,Chelsea FC
Willy Caballero,660000.0,Chelsea FC
Jamal Blackman,440000.0,Chelsea FC
Antonio Rüdiger,44000000.0,Chelsea FC
Kurt Zouma,30800000.0,Chelsea FC
Andreas Christensen,26400000.0,Chelsea FC
Fikayo Tomori,17600000.0,Chelsea FC
Matt Miazga,2200000.0,Chelsea FC
Emerson,26400000.0,Chelsea FC
Marcos Alonso,22000000.0,Chelsea FC
César Azpilicueta,26400000.0,Chelsea FC
Reece James,24750000.0,Chelsea FC
Jorginho,57200000.0,Chelsea FC
N'Golo Kanté,88000000.0,Chelsea FC
Mateo Kovacic,39600000.0,Chelsea FC
Ruben Loftus-Cheek,26400000.0,Chelsea FC
Ross Barkley,23650000.0,Chelsea FC
Billy Gilmour,5940000.0,Chelsea FC
Marco van Ginkel,3520000.0,Chelsea FC
Lewis Baker,3080000.0,Chelsea FC
Danilo Pantic,1540000.0,Chelsea FC
Mason Mount,44550000.0,Chelsea FC
Christian Pulisic,59400000.0,Chelsea FC
Callum Hudson-Odoi,34650000.0,Chelsea FC
Willian,24750000.0,Chelsea FC
Pedro,10450000.0,Chelsea FC
Tammy Abraham,44000000.0,Chelsea FC
Michy Batshuayi,19250000.0,Chelsea FC
Olivier Giroud,7700000.0,Chelsea FC
David de Gea,44000000.0,Manchester United
Sergio Romero,3080000.0,Manchester United
Lee Grant,660000.0,Manchester United
Joel Pereira,523000.0,Manchester United
Harry Maguire,61600000.0,Manchester United
Victor Lindelöf,30800000.0,Manchester United
Eric Bailly,19250000.0,Manchester United
Axel Tuanzebe,8800000.0,Manchester United
Phil Jones,7700000.0,Manchester United
Luke Shaw,19250000.0,Manchester United
Brandon Williams,12100000.0,Manchester United
Cameron Borthwick-Jackson,880000.0,Manchester United
Aaron Wan-Bissaka,35200000.0,Manchester United
Diogo Dalot,19800000.0,Manchester United
Timothy Fosu-Mensah,6930000.0,Manchester United
Nemanja Matic,17600000.0,Manchester United
Paul Pogba,88000000.0,Manchester United
Scott McTominay,24750000.0,Manchester United
Fred,19250000.0,Manchester United
Bruno Fernandes,52800000.0,Manchester United
Andreas Pereira,17600000.0,Manchester United
Juan Mata,10450000.0,Manchester United
Marcus Rashford,70400000.0,Manchester United
Daniel James,24750000.0,Manchester United
Jesse Lingard,19250000.0,Manchester United
Tahith Chong,6930000.0,Manchester United
Anthony Martial,52800000.0,Manchester United
Mason Greenwood,31900000.0,Manchester United
Odion Ighalo,5720000.0,Manchester United
Name,Value,Team
Bernd Leno,30800000.0,Arsenal FC
Emiliano Martínez,3080000.0,Arsenal FC
Matt Macey,275000.0,Arsenal FC
Sokratis,15950000.0,Arsenal FC
Shkodran Mustafi,13200000.0,Arsenal FC
David Luiz,13200000.0,Arsenal FC
Rob Holding,10450000.0,Arsenal FC
Pablo Marí,5280000.0,Arsenal FC
Kieran Tierney,22000000.0,Arsenal FC
Sead Kolasinac,17600000.0,Arsenal FC
Héctor Bellerín,35200000.0,Arsenal FC
Ainsley Maitland-Niles,15950000.0,Arsenal FC
Calum Chambers,15950000.0,Arsenal FC
Lucas Torreira,39600000.0,Arsenal FC
Granit Xhaka,26400000.0,Arsenal FC
Mattéo Guendouzi,44550000.0,Arsenal FC
