Name,Position,Market Value,Actual Fee,New Team,Old Team
Riyad Mahrez,RW,55000000.0,74580000.0,Manchester City,Leicester
Ante Palaversa,DM,605000.0,6930000.0,Manchester City,Hajduk Split
Philippe Sandler,CB,2750000.0,2750000.0,Manchester City,PEC Zwolle
Ko Itakura,CB,770000.0,1210000.0,Manchester City,Kawasaki Front.
Daniel Arzani,LW,1650000.0,979000.0,Manchester City,Melbourne City
Manu García,AM,2200000.0,0,Manchester City,Man City U23
Arijanet Muric,GK,0,0,Manchester City,Man City U23
Brahim Díaz,AM,5500000.0,18700000.0,Real Madrid,Manchester City
Angus Gunn,GK,2200000.0,12430000.0,Southampton,Manchester City
Pablo Maffeo,RB,11000000.0,9900000.0,VfB Stuttgart,Manchester City
Jason Denayer,CB,3300000.0,7150000.0,Olympique Lyon,Manchester City
Joe Hart,GK,11000000.0,4290000.0,Burnley,Manchester City
Olarenwaju Kayode,CF,3300000.0,3300000.0,Shakhtar D.,Manchester City
Yaya Touré,CM,2750000.0,0,Without Club,Manchester City
Fred,CM,35200000.0,64900000.00000001,Manchester United,Shakhtar D.
Diogo Dalot,RB,16500000.0,24200000.0,Manchester United,FC Porto
Lee Grant,GK,1100000.0,1870000.0,Manchester United,Stoke City
Daley Blind,CB,19800000.0,17600000.0,Ajax,Manchester United
Sam Johnstone,GK,2750000.0,8090000.0,West Brom,Manchester United
Marouane Fellaini,CM,16500000.0,7920000.0,SD Luneng,Manchester United
Michael Carrick,DM,1100000.0,0,Retired,Manchester United
Oliver Skipp,DM,0,0,Tottenham Hotspur,Tottenham U23
Mousa Dembélé,CM,19800000.0,5890000.0,GZ R&F,Tottenham Hotspur
Alisson,GK,66000000.0,68750000.0,Liverpool FC,AS Roma
Naby Keïta,CM,71500000.0,66000000.0,Liverpool FC,RB Leipzig
Fabinho,DM,49500000.0,49500000.0,Liverpool FC,Monaco
Xherdan Shaqiri,RW,19800000.0,16170000.000000002,Liverpool FC,Stoke City
Ryan Kent,LW,1650000.0,0,Liverpool FC,Liverpool U23
Harry Wilson,RW,1100000.0,0,Liverpool FC,Liverpool U23
Dominic Solanke,CF,11000000.0,23320000.0,Bournemouth,Liverpool FC
Danny Ward,GK,2750000.0,15400000.0,Leicester,Liverpool FC
Ragnar Klavan,CB,3850000.0,1670000.0,Cagliari Calcio,Liverpool FC
Jordan Williams,DM,110000.0,0,Rochdale,Liverpool FC
Jon Flanagan,RB,2750000.0,0,Rangers,Liverpool FC
Lazar Markovic,RW,5500000.0,0,Fulham,Liverpool FC
Emre Can,DM,33000000.0,0,Juventus,Liverpool FC
Kepa,GK,22000000.0,88000000.0,Chelsea FC,Athletic
Christian Pulisic,LW,55000000.0,70400000.0,Chelsea FC,Bor. Dortmund
Jorginho,DM,55000000.0,62700000.0,Chelsea FC,SSC Napoli
Rob Green,GK,275000.0,0,Chelsea FC,Huddersfield
Callum Hudson-Odoi,LW,0,0,Chelsea FC,Chelsea U23
Thibaut Courtois,GK,71500000.0,38500000.0,Real Madrid,Chelsea FC
Cesc Fàbregas,CM,27500000.0,9900000.0,Monaco,Chelsea FC
Matej Delac,GK,825000.0,0,AC Horsens,Chelsea FC
Wallace Oliveira,RB,1100000.0,0,Without Club,Chelsea FC
Lucas Torreira,DM,33000000.0,31520000.0,Arsenal FC,Sampdoria
Bernd Leno,GK,22000000.0,27500000.0,Arsenal FC,Bay. Leverkusen
Sokratis,CB,22000000.0,17600000.0,Arsenal FC,Bor. Dortmund
Mattéo Guendouzi,CM,2750000.0,8800000.0,Arsenal FC,FC Lorient
Stephan Lichtsteiner,RB,1650000.0,0,Arsenal FC,Juventus
Eddie Nketiah,CF,0,0,Arsenal FC,Arsenal U23
Lucas Pérez,CF,8250000.0,4840000.0,West Ham,Arsenal FC
Joel Campbell,RW,3300000.0,1650000.0,Frosinone,Arsenal FC
Chuba Akpom,CF,1320000.0,1100000.0,PAOK Salonika,Arsenal FC
Santi Cazorla,CM,2750000.0,0,Villarreal,Arsenal FC
Jack Wilshere,CM,22000000.0,0,West Ham,Arsenal FC
Per Mertesacker,CB,1100000.0,0,Retired,Arsenal FC
Ben Gibson,CB,11000000.0,18590000.0,Burnley FC,Middlesbrough
Matej Vydra,CF,8800000.0,13420000.0,Burnley FC,Derby
Joe Hart,GK,11000000.0,4290000.0,Burnley FC,Man City
Peter Crouch,CF,1100000.0,0,Burnley FC,Stoke City
Dwight McNeil,LW,0,0,Burnley FC,Burnley U23
Sam Vokes,CF,6600000.0,8800000.0,Stoke City,Burnley FC
Scott Arfield,CM,3300000.0,0,Rangers,Burnley FC
Dean Marney,CM,1100000.0,0,Fleetwood,Burnley FC
Chris Long,CF,825000.0,0,Fleetwood,Burnley FC
Tom Anderson,CB,275000.0,0,Doncaster,Burnley FC
Jonathan Walters,RW,1650000.0,0,Retired,Burnley FC
Richarlison,CF,27500000.0,43120000.0,Everton FC,Watford
Yerry Mina,CB,22000000.0,33280000.0,Everton FC,FC Barcelona
Lucas Digne,LB,16500000.0,22220000.0,Everton FC,FC Barcelona
Bernard,LW,17600000.0,0,Everton FC,Shakhtar D.
Davy Klaassen,CM,16500000.0,14850000.0,Werder Bremen,Everton FC
Ramiro Funes Mori,CB,11000000.0,9900000.0,Villarreal,Everton FC
Tyias Browning,CB,1100000.0,5060000.0,GZ Evergrande,Everton FC
Joel Robles,GK,3850000.0,0,Real Betis,Everton FC
Conor Grant,CM,275000.0,0,Plymouth,Everton FC
Wayne Rooney,AM,11000000.0,0,D.C. United,Everton FC
James Maddison,AM,11000000.0,27500000.0,Leicester City,Norwich
Ricardo Pereira,RB,22000000.0,24200000.0,Leicester City,FC Porto
