Name,Value,Team
Thibaut Courtois,66000000.0,Chelsea FC
Willy Caballero,1100000.0,Chelsea FC
Eduardo,1100000.0,Chelsea FC
Matej Delac,825000.0,Chelsea FC
Jamal Blackman,275000.0,Chelsea FC
Antonio Rüdiger,44000000.0,Chelsea FC
Andreas Christensen,44000000.0,Chelsea FC
David Luiz,27500000.0,Chelsea FC
Kurt Zouma,16500000.0,Chelsea FC
Gary Cahill,16500000.0,Chelsea FC
Tomas Kalas,5500000.0,Chelsea FC
Ethan Ampadu,5500000.0,Chelsea FC
Michael Hector,3300000.0,Chelsea FC
Fikayo Tomori,1100000.0,Chelsea FC
Jake Clarke-Salter,1100000.0,Chelsea FC
Marcos Alonso,44000000.0,Chelsea FC
Emerson,22000000.0,Chelsea FC
César Azpilicueta,44000000.0,Chelsea FC
Davide Zappacosta,22000000.0,Chelsea FC
Ola Aina,1650000.0,Chelsea FC
Todd Kane,1380000.0,Chelsea FC
Wallace Oliveira,1100000.0,Chelsea FC
Dujon Sterling,0,Chelsea FC
Tiemoué Bakayoko,44000000.0,Chelsea FC
Trevoh Chalobah,0,Chelsea FC
N'Golo Kanté,66000000.0,Chelsea FC
Cesc Fàbregas,33000000.0,Chelsea FC
Ross Barkley,27500000.0,Chelsea FC
Danny Drinkwater,22000000.0,Chelsea FC
Ruben Loftus-Cheek,16500000.0,Chelsea FC
Marco van Ginkel,13200000.0,Chelsea FC
Lewis Baker,6050000.0,Chelsea FC
Kyle Scott,0,Chelsea FC
Victor Moses,22000000.0,Chelsea FC
Kenedy,11000000.0,Chelsea FC
Charly Musonda Jr.,5500000.0,Chelsea FC
Eden Hazard,121000000.0,Chelsea FC
Lucas Piazón,2750000.0,Chelsea FC
Jeremie Boga,2750000.0,Chelsea FC
Callum Hudson-Odoi,0,Chelsea FC
Willian,35200000.0,Chelsea FC
Pedro,27500000.0,Chelsea FC
Álvaro Morata,71500000.0,Chelsea FC
Michy Batshuayi,44000000.0,Chelsea FC
Olivier Giroud,19800000.0,Chelsea FC
Tammy Abraham,11000000.0,Chelsea FC
David de Gea,77000000.0,Manchester United
Sergio Romero,5500000.0,Manchester United
Sam Johnstone,2750000.0,Manchester United
Joel Pereira,1100000.0,Manchester United
Eric Bailly,38500000.0,Manchester United
Victor Lindelöf,27500000.0,Manchester United
Phil Jones,22000000.0,Manchester United
Marcos Rojo,19800000.0,Manchester United
Chris Smalling,19800000.0,Manchester United
Daley Blind,19800000.0,Manchester United
Axel Tuanzebe,1100000.0,Manchester United
Luke Shaw,16500000.0,Manchester United
Cameron Borthwick-Jackson,3300000.0,Manchester United
Matteo Darmian,11000000.0,Manchester United
Antonio Valencia,8800000.0,Manchester United
Timothy Fosu-Mensah,7700000.0,Manchester United
Nemanja Matic,44000000.0,Manchester United
Michael Carrick,1100000.0,Manchester United
Paul Pogba,99000000.0,Manchester United
Ander Herrera,33000000.0,Manchester United
Marouane Fellaini,13200000.0,Manchester United
Scott McTominay,7700000.0,Manchester United
Ethan Hamilton,0,Manchester United
Ashley Young,7700000.0,Manchester United
Henrikh Mkhitaryan,38500000.0,Manchester United
Juan Mata,33000000.0,Manchester United
Wayne Rooney,11000000.0,Manchester United
Angel Gomes,0,Manchester United
Alexis Sánchez,77000000.0,Manchester United
Marcus Rashford,71500000.0,Manchester United
Jesse Lingard,38500000.0,Manchester United
Romelu Lukaku,99000000.0,Manchester United
Anthony Martial,71500000.0,Manchester United
Zlatan Ibrahimovic,4400000.0,Manchester United
James Wilson,2200000.0,Manchester United
David Ospina,5500000.0,Arsenal FC
Petr Cech,3300000.0,Arsenal FC
Matt Macey,550000.0,Arsenal FC
Dejan Iliev,0,Arsenal FC
Shkodran Mustafi,27500000.0,Arsenal FC
Laurent Koscielny,16500000.0,Arsenal FC
Rob Holding,7700000.0,Arsenal FC
Konstantinos Mavropanos,3300000.0,Arsenal FC
Per Mertesacker,1100000.0,Arsenal FC
Sead Kolasinac,19800000.0,Arsenal FC
Nacho Monreal,14300000.0,Arsenal FC
Cohen Bramall,275000.0,Arsenal FC
Héctor Bellerín,44000000.0,Arsenal FC
Calum Chambers,15400000.0,Arsenal FC
Ainsley Maitland-Niles,7700000.0,Arsenal FC
Mathieu Debuchy,4950000.0,Arsenal FC
Carl Jenkinson,3850000.0,Arsenal FC
Jordi Osei-Tutu,0,Arsenal FC
Granit Xhaka,44000000.0,Arsenal FC
Francis Coquelin,13200000.0,Arsenal FC
Mohamed Elneny,11000000.0,Arsenal FC
Krystian Bielik,2200000.0,Arsenal FC
Joshua Da Silva,0,Arsenal FC
Charlie Gilmour,0,Arsenal FC
Ben Sheaf,0,Arsenal FC
Aaron Ramsey,49500000.0,Arsenal FC
Alex Oxlade-Chamberlain,44000000.0,Arsenal FC
Jack Wilshere,22000000.0,Arsenal FC
Jeff Reine-Adélaïde,3300000.0,Arsenal FC
Santi Cazorla,2750000.0,Arsenal FC
Marcus McGuane,550000.0,Arsenal FC
Joe Willock,0,Arsenal FC
Mesut Özil,55000000.0,Arsenal FC
Henrikh Mkhitaryan,38500000.0,Arsenal FC
Vlad Dragomir,55000.0,Arsenal FC
Alexis Sánchez,77000000.0,Arsenal FC
Alex Iwobi,16500000.0,Arsenal FC
Theo Walcott,22000000.0,Arsenal FC
Reiss Nelson,0,Arsenal FC
Pierre-Emerick Aubameyang,82500000.0,Arsenal FC
Alexandre Lacazette,66000000.0,Arsenal FC
Olivier Giroud,19800000.0,Arsenal FC
Danny Welbeck,16500000.0,Arsenal FC
Chuba Akpom,1320000.0,Arsenal FC
Eddie Nketiah,0,Arsenal FC
Ederson,55000000.0,Manchester City
Joe Hart,11000000.0,Manchester City
Claudio Bravo,3850000.0,Manchester City
Angus Gunn,2200000.0,Manchester City
John Stones,55000000.0,Manchester City
Aymeric Laporte,55000000.0,Manchester City
Nicolás Otamendi,38500000.0,Manchester City
Eliaquim Mangala,16500000.0,Manchester City
Vincent Kompany,11000000.0,Manchester City
Tosin Adarabioyo,1100000.0,Manchester City
Benjamin Mendy,44000000.0,Manchester City
Oleksandr Zinchenko,7700000.0,Manchester City
Kyle Walker,55000000.0,Manchester City
Danilo,22000000.0,Manchester City
Demeaco Duhaney,0,Manchester City
Fernandinho,16500000.0,Manchester City
Ilkay Gündogan,44000000.0,Manchester City
Fabian Delph,16500000.0,Manchester City
Phil Foden,7700000.0,Manchester City
Yaya Touré,2750000.0,Manchester City
Tom Dele-Bashiru,0,Manchester City
Kevin De Bruyne,165000000.0,Manchester City
David Silva,33000000.0,Manchester City
Brahim Díaz,5500000.0,Manchester City
Raheem Sterling,99000000.0,Manchester City
Leroy Sané,99000000.0,Manchester City
Jack Harrison,3850000.0,Manchester City
Bernardo Silva,55000000.0,Manchester City
Patrick Roberts,8250000.0,Manchester City
Sergio Agüero,88000000.0,Manchester City
Gabriel Jesus,88000000.0,Manchester City
Lukas Nmecha,0,Manchester City
Name,Value,Team
Hugo Lloris,27500000.0,Tottenham Hotspur
Michel Vorm,2750000.0,Tottenham Hotspur
Paulo Gazzaniga,1100000.0,Tottenham Hotspur
Alfie Whiteman,0,Tottenham Hotspur
