,Club,Turnover,Wages,Profit before tax,Match income,TV and broadcasting,Retail,Commercial,Property development,Player trading,Net debt,Interest payable,Highest paid director,Events,Other
0,Arsenal,290.15999999999997,168.0,35.0,75.24,137.7,26.0,87.312,0.0,2.0,-15.0,1.0,1.89,,1.0
1,Bournemouth,135.0,102.0,-46.0,5.0,119.0,1.0,7.0,,,69.0,2.0,1.3,1.0,0.5
2,Burnley,139.0,82.0,10.0,6.0,122.0,3.0,9.0,,,-43.0,0.017,,,
3,Chelsea,448.0,246.0,-5.0,74.0,204.0,,170.0,,,1250.0,,0.244,,
4,Everton,189.0,145.0,-22.0,16.0,130.0,,43.0,,,66.0,6.0,0.927,,
5,Leicester City,159.0,119.0,-33.0,13.0,124.0,14.0,8.0,,,10.0,3.0,0.308,,
6,Liverpool,455.0,264.0,90.0,81.0,220.0,,154.0,,,155.0,8.0,1.3,,
7,Manchester City,500.0,260.0,-25.0,57.0,212.0,,232.0,,,66.0,2.0,5.4,,
8,Manchester United,590.0,296.0,-9.0,110.0,204.0,,276.0,,,254.0,24.0,4.152,,
9,Southampton,153.0,113.0,0.0,19.0,117.0,,15.0,,,20.0,0.636,2.0,,2.0
10,Stoke City,127.0,94.0,-65.0,8.0,101.0,,11.0,,,123.0,,0.711,3.0,4.0
11,Swansea City,128.0,91.0,-38.0,7.0,105.0,,16.0,,,15.0,2.0,0.655197,,
12,Tottenham Hotspur,381.0,148.0,104.0,71.0,148.0,,109.0,,,366.0,,3.0,,53.0
13,Watford,128.0,86.0,-67.0,8.0,109.0,,11.0,,,96.0,5.0,0.631,,1.0
14,West Bromwich Albion,125.0,92.0,-42.0,7.0,102.0,3.0,13.0,,,24.0,,0.21899999999999997,,
15,West Ham United,175.0,107.0,-17.0,25.0,119.0,8.0,24.0,,,35.0,4.0,0.898,,
